class_name,col_va,col_offset,vtable_start,vtable_end,slot_count,slot3_value,stop_reason
.?AVArkMarketPriceGraphUI@@,0x00AB456C,0,0x00A93518,0x00A93520,2,0x00000000,non_code:0xab45c0
.?AVArkMarketPriceGraphUI_Impl@@,0x00AB45C0,0,0x00A93524,0x00A9365C,78,0x00775CA0,non_code:0xab4618
.?AV?$ComponentImpl@VArkItemPriceUI_Impl@@@ArkUI@@,0x00AB4618,0,0x00A93660,0x00A93668,2,0x00000000,non_code:0xab4664
.?AVArkItemPriceUI@@,0x00AB4664,0,0x00A9366C,0x00A93678,3,0x00000000,non_code:0xab46f4
.?AV?$WindowImpl@VArkItemPriceUI_Impl@@@ArkUI@@,0x00AB46F4,0,0x00A9367C,0x00A93684,2,0x00000000,non_code:0x0
.?AVArkItemPriceUI_Impl@@,0x00AB4708,0,0x00A9368C,0x00A937F4,90,0x00775CA0,non_code:0x6d25
.?AV?$ComponentImpl@VArkItemLoanAmountUI_Impl@@@ArkUI@@,0x00AB4760,0,0x00A937FC,0x00A93804,2,0x00000000,non_code:0xab47ac
.?AVArkItemLoanAmountUI@@,0x00AB47AC,0,0x00A93808,0x00A93814,3,0x00000000,non_code:0xab483c
.?AV?$WindowImpl@VArkItemLoanAmountUI_Impl@@@ArkUI@@,0x00AB483C,0,0x00A93818,0x00A93820,2,0x00000000,non_code:0xab4850
.?AVArkItemLoanAmountUI_Impl@@,0x00AB4850,0,0x00A93824,0x00A93954,76,0x00775CA0,non_code:0xab48a8
.?AV?$ComponentImpl@VArkBankConfigUI_Impl@@@ArkUI@@,0x00AB48A8,0,0x00A93958,0x00A93960,2,0x00000000,non_code:0xab48f4
.?AV?$WindowImpl@VArkBankConfigUI_Impl@@@ArkUI@@,0x00AB48F4,0,0x00A93964,0x00A9396C,2,0x00000000,non_code:0xab4944
.?AVArkBankConfigUI@@,0x00AB4944,0,0x00A93970,0x00A93978,2,0x00000000,non_code:0xab4998
.?AVArkBankConfigUI_Impl@@,0x00AB4998,0,0x00A9397C,0x00A93AAC,76,0x00775CA0,non_code:0x3f800000
.?AVArkGenericImageUI@@,0x00AB49F0,0,0x00A93ABC,0x00A93B54,38,0x007E19D0,non_code:0x0
.?AVArkHelpUI@@,0x00AB4A40,0,0x00A93B5C,0x00A93BFC,40,0x007E19D0,non_code:0x0
.?AVArkSoundAreaFactory@@,0x00AB4A90,0,0x00A94098,0x00A9409C,1,0x00000000,non_code:0x6972645c
.?AVSound3DInit@@,0x00AB4AD8,0,0x00A940E8,0x00A940EC,1,0x00000000,non_code:0xab4b24
.?AVSound2DInit@@,0x00AB4B24,0,0x00A940F0,0x00A940F4,1,0x00000000,non_code:0xab4b70
.?AVSoundAreaInit@@,0x00AB4B70,0,0x00A940F8,0x00A940FC,1,0x00000000,non_code:0xab4bbc
.?AVArkAudioScriptResourceItem@@,0x00AB4BBC,0,0x00A94100,0x00A9410C,3,0x00000000,non_code:0xab4c08
.?AVArkAudioResourceItemFactory@@,0x00AB4C08,0,0x00A94110,0x00A9411C,3,0x00000000,non_code:0x3f800000
.?AVArkResourceDataStoreAudio@@,0x00AB4C54,0,0x00A9412C,0x00A9414C,8,0x00826180,non_code:0x616d772e
.?AVArkSoundArea@@,0x00AB4CA4,0,0x00A94158,0x00A9416C,5,0x0095D4FA,non_code:0xab4cb8
.?AVArkSoundAreaEllipsoid@@,0x00AB4CB8,0,0x00A94170,0x00A94184,5,0x007F4A10,non_code:0xab4d04
.?AVArkSoundAreaBox@@,0x00AB4D04,0,0x00A94188,0x00A9419C,5,0x007FCF20,non_code:0xab4d50
.?AVArkSoundAreaSphere@@,0x00AB4D50,0,0x00A941A0,0x00A941B4,5,0x00775CA0,non_code:0x3f800000
.?AVIAudioLoader@Audio@@,0x00AB4D9C,0,0x00A94208,0x00A94238,12,0x0095D4FA,non_code:0xab4f40
.?AVArkWMANetCallback@Audio@@,0x00AB4F40,4,0x00A9423C,0x00A94260,9,0x008BC550,non_code:0xab4de4
.?AVArkWMANetCallback@Audio@@,0x00AB4DE4,0,0x00A94264,0x00A9427C,6,0x008BD1D0,non_code:0xab4f54
.?AVArkWMANetLoader@Audio@@,0x00AB4F54,0,0x00A94280,0x00A942B0,12,0x008BCE00,non_code:0x576b7241
.?AVWMACallback@Audio@@,0x00AB4FFC,4,0x00A942E4,0x00A94308,9,0x008BC550,non_code:0xab4fa0
.?AVWMACallback@Audio@@,0x00AB4FA0,0,0x00A9430C,0x00A94324,6,0x008BD820,non_code:0x0
.?AVArkWMALoader@Audio@@,0x00AB5010,0,0x00A94334,0x00A94364,12,0x008BDC60,non_code:0x3f800000
.?AVArkWaveLoader@Audio@@,0x00AB505C,0,0x00A94374,0x00A943A4,12,0x008BEB00,non_code:0x3f800000
.?AVArkAudioLoader@Audio@@,0x00AB50A8,0,0x00A943B4,0x00A943E4,12,0x008BF080,non_code:0x416b7241
.?AVAudioStreamFactory@Audio@@,0x00AB5128,0,0x00A94414,0x00A94418,1,0x00000000,non_code:0x7473696c
.?AVArkMusicManager@@,0x00AB51A8,0,0x00A94434,0x00A94448,5,0x008C32C0,non_code:0xab5248
.?AVArkThemeCache@@,0x00AB5248,0,0x00A9444C,0x00A94450,1,0x00000000,non_code:0x3f800000
.?AVArkAudioLoaderFactory@@,0x00AB5318,0,0x00A94470,0x00A9447C,3,0x00000000,non_code:0x3a736d6d
.?AVSoundEmitter@@,0x00AB5364,0,0x00A9448C,0x00A94490,1,0x00000000,non_code:0xab53e4
.?AVArkAudioResourceItem@@,0x00AB53E4,0,0x00A94494,0x00A944A0,3,0x00000000,non_code:0x3f800000
.?AVListener@Audio@@,0x00AB5464,0,0x00A944BC,0x00A9450C,20,0x008C52C0,non_code:0x0
.?AVIAudioBase@Audio@@,0x00AB54B0,0,0x00A9452C,0x00A94544,6,0x0095D4FA,non_code:0x0
.?AVSound@Audio@@,0x00AB5530,0,0x00A9454C,0x00A945BC,28,0x008C6500,non_code:0x69647541
.?AVSound3D@Audio@@,0x00AB55C0,0,0x00A945DC,0x00A94690,45,0x008C7EE0,non_code:0x3f800000
.?AVSegment@Audio@@,0x00AB5650,0,0x00A946A4,0x00A94704,24,0x008C8540,non_code:0x3f800000
.?AVDLS@Audio@@,0x00AB5718,0,0x00A94734,0x00A94758,9,0x008C9C50,non_code:0x3f800000
.?AVAudioScript@Audio@@,0x00AB57A0,0,0x00A94768,0x00A94790,10,0x008CA350,non_code:0x3f800000
.?AVLexer@@,0x00AB57F0,0,0x00A947D0,0x00A947D4,1,0x00000000,non_code:0x3f800000
.?AVEmitterBase@@,0x00AB5838,0,0x00A94800,0x00A94804,1,0x00000000,non_code:0x3f800000
.?AVFileStream@Audio@@,0x00AB584C,0,0x00A94814,0x00A94854,16,0x008CF500,non_code:0x3f800000
.?AVToken@@,0x00AB5958,0,0x00A94898,0x00A9489C,1,0x00000000,non_code:0x49464544
.?AVMacro@@,0x00AB59A0,0,0x00A948C8,0x00A948CC,1,0x00000000,non_code:0x3e2d
.?AVArkUIDesktop@@,0x00AB59E8,0,0x00A9492C,0x00A94A50,73,0x00775CA0,non_code:0xab5a90
.?AVArkUI3DViewPort@@,0x00AB5A90,0,0x00A94A54,0x00A94B74,72,0x00775CA0,non_code:0x30504942
.?AVArkUIObjectItemHolder@@,0x00AB5AE4,0,0x00A94BA4,0x00A94C08,25,0x00775CA0,non_code:0xab5af8
.?AVArkUIComponent@@,0x00AB5AF8,0,0x00A94C0C,0x00A94D2C,72,0x00775CA0,non_code:0xab5b0c
.?AVArkPanelModulateColor@@,0x00AB5B0C,0,0x00A94D30,0x00A94D50,8,0x0083FA90,non_code:0xab5b58
.?AVDataItem@ArkUIObjectItem@@,0x00AB5B58,0,0x00A94D54,0x00A94D60,3,0x00000000,non_code:0xab5ba0
